,Investors,Number of Investments
425,Newpath Partners,1
426,Polaris Partners,1
427,RPM Ventures,1
428,Kinnevik,1
429,L'Occitane,1
430,SoftBank Latin America Fund,1
431,Mayfield,2
432,CVC Capital Partners,1
433,CDIB Capital,1
434,Russia-China Investment Fund,1
435,Pelion Venture Partners,2
436,China Reform Fund,1
437,Draper Fisher Jurtson,1
438,Mithril,1
439,Ardian,2
440,Opus Capital,1
441,Accelm Scania Growth Capital,1
442,Auriga,1
443,China Culture Industrial Investment Fund,1
444,Pritzker Group Venture Capital,1
445,Glory Ventures,1
446,CMFG Ventures,1
447,HV Capital,1
448,Intact Ventures,1
449,M13,1
450,Mangrove Capital Partners,1
451,WestBridge Capital,1
452,Edison Partners,1
453,Kaiser Permanente Ventures,1
454,GSV Ventures,1
455,Franklin Templeton,1
456,Beijing Juneng Hesheng Industry Investment Fund,1
457,Shenzhen Capital Group,1
458,QF Capital,1
459,AF Ventures,1
460,Inflexion Private Equity,1
461,SAIF Partners India,1
462,Fireside Ventures,1
463,Jump Capital,1
464,FundersClub,1
465,Bain Capital Tech Opportunities,1
466,American Family Ventures,2
467,Lindeman Asia Investment,1
468,Intel Capital,1
469,Shell Ventures,1
470,Silverton Partners,2
471,Meson Capital Partners,1
472,Astorg Partners,1
473,Railway Pension Trustee Co. Ltd.,1
474,SoftBankGroup,1
475,Silver Lake Partners,1
476,Banyan Capital,1
477,5Y Capital,1
478,SAIF Partners China,1
479,China Minsheng Investment,1
480,QiMing Venture Partners,1
481,Hinduja Group,1
482,Berkshire Partners,1
483,58.com,1
484,K2 Ventures,1
485,Standard Chartered,1
486,Blue Label Telecoms,1
487,Co-Energy Finance,1
488,K2 Global,1
489,Morningside Venture Capital,1
490,Ginko Ventures,1
491,Fosun RZ Capital,1
492,V Star Capital,1
493,China Investment Corporation,1
494,Silicon Valley Bank,1
495,Innova Capital - FIP,1
496,One Luxury Group,1
497,Prometheus Capital,1
498,Yunfeng Capital,1
499,GCP Capital Partners,1
500,Sinovation Ventures,1
501,U.S.-China Green Fund,1
502,Lakestar,1
503,China Everbright Limited,1
504,Georgian Co-Investment Fund,1
505,Movile,1
506,Astanor Ventures,1
507,BOC International,1
508,Trinity Ventures,2
509,China Prosperity Capital,1
510,TAL Education Group,1
511,SBI Investment Korea,1
512,Koch Disruptive Technologies,1
513,Investment Corporation of Dubai,1
514,FTV Capital,2
515,OLX Group,1
516,One Equity Partners,1
517,Novator Partners,1
518,Sozo Ventures,1
519,Bain Capital,2
520,MMC Ventures,1
